post_id,post_timestamp,text,comments_id
17976187442142137,2023-06-14T10:29:23+0000,𝙎𝙚𝙣𝙙 𝙥𝙞𝙘 𝙤𝙣👉@womenbusinesscommunity_,17926507439706178
18230240650081909,2023-01-01T11:57:16+0000,How to order,17975853511819224
17962906022156039,2023-05-19T06:23:18+0000,How long it would take for delivery?,17881680083854210
17962906022156039,2023-05-19T06:22:16+0000,Hi,18017156980598739
17856177032835449,2022-10-25T13:01:34+0000,Eann price,18189747349214501
18195331531172680,2022-10-22T09:25:34+0000,How much,17868542852789970
18253087534186277,2022-10-03T11:58:24+0000,Size,17928527339414172
17925963587406802,2022-07-19T08:46:09+0000,How to order??,18101884570291500
17976594958608662,2022-07-14T14:52:21+0000,How much,18004117579452040
17912865275452660,2022-06-22T01:44:47+0000,I want this,17933170889127909
17867379731684127,2022-06-28T09:11:05+0000,Size pls,18170204866234514
17867379731684127,2022-06-13T12:50:58+0000,Rate mam,17950373398839990
17915184869376958,2022-06-02T11:14:46+0000,Price,17961908782686963
17915184869376958,2022-06-02T07:39:31+0000,How much??,17881994216664772
17915184869376958,2022-06-02T04:26:26+0000,Rate please,17952249361784802
17923079576350503,2022-04-24T08:08:20+0000,How much sis,17937169733080910
17925455120200487,2022-07-12T12:10:46+0000,Mam for combo pp??,17959484188846266
17982422353491766,2022-07-24T16:46:37+0000,Epadi order panradhu,18044827552353953
17914653848391410,2022-07-07T09:03:52+0000,Tell me rate mam,17926614263292141
17914653848391410,2022-06-14T19:27:03+0000,Intha dress available ah xl,18042003352345595
17914653848391410,2022-06-14T19:25:06+0000,Hi,17943317009083231
17914653848391410,2022-04-09T17:21:07+0000,Pp,18290520697062021
17929520420158609,2022-08-31T07:31:48+0000,I want this I want to order can I send send my addresss,17961938950801312
17929520420158609,2022-07-12T06:35:09+0000,I want this,17940384587184168
17929520420158609,2022-05-24T17:44:32+0000,I want this,18297709864044410
17929520420158609,2022-05-09T17:09:00+0000,Hi medam and sir,17884004645649272
18007943395398884,2023-03-21T18:00:41+0000,Is this available?,17957978726428021
18007943395398884,2022-08-15T04:56:55+0000,Dad n mom n daughter rate pls,17956494046963307
18007943395398884,2022-08-15T04:56:16+0000,Total amount evlo mam,18240069745138553
18007943395398884,2022-06-23T14:20:03+0000,Hi,17953880962910160
18007943395398884,2022-03-29T11:04:03+0000,I want this type of dresses,17906613692397356
18007943395398884,2022-03-29T09:52:18+0000,Ena rate sia,17903947217453731
18197326396194881,2022-03-27T13:53:56+0000,How to order,17942762533808293
17932983089098371,2022-05-22T12:18:27+0000,We want this saree,17925870158499493
18120195628284653,2022-05-25T13:04:26+0000,Is this available price plsz,17989372207482626
18120195628284653,2022-05-11T12:17:25+0000,Pp,17901632600597784
18120195628284653,2022-04-30T16:34:47+0000,Price,17910898457385605
18120195628284653,2022-04-22T03:43:38+0000,𝑷𝒓𝒊𝒄𝒆,17939438504058830
18120195628284653,2022-04-20T01:37:10+0000,Price,17937105935030050
18120195628284653,2022-04-16T16:22:39+0000,How much for this,17932934198127116
18120195628284653,2022-04-13T06:09:09+0000,Pp,18277586056067296
18120195628284653,2022-04-08T18:08:55+0000,Pp,18001672060424713
18120195628284653,2022-04-08T05:27:14+0000,Price sollunga,18131670826256853
18120195628284653,2022-04-07T09:15:26+0000,How much thiz,17943787270816577
18120195628284653,2022-04-03T18:15:29+0000,Price,18130736989270523
18120195628284653,2022-04-03T09:09:17+0000,Price?,17890985258529110
18120195628284653,2022-04-03T07:03:07+0000,Price of this pls,17853751040735856
18120195628284653,2022-04-02T14:46:19+0000,Price plz,17932719736984884
18120195628284653,2022-04-01T07:50:01+0000,price ??,18057068197307922
18120195628284653,2022-03-30T05:56:41+0000,How much,18048152305314506
18120195628284653,2022-03-30T04:33:40+0000,Hello....tell me tha price,18015886177361202
18120195628284653,2022-03-28T06:59:54+0000,Pp,17943917323796571
18120195628284653,2022-03-28T06:12:40+0000,Price pls,18121606660272611
18120195628284653,2022-03-27T08:59:48+0000,How much price,17891142776612260
18120195628284653,2022-03-26T07:18:45+0000,Rate,17939726668844060
18120195628284653,2022-03-26T06:58:56+0000,Price pls,17905100714525680
18120195628284653,2022-03-25T06:33:06+0000,How much,17964585349591867
18120195628284653,2022-03-25T05:42:25+0000,How much,18197808565153312
18120195628284653,2022-03-24T22:48:40+0000,Price pls,17935259911918891
17920643930152198,2022-03-23T18:01:10+0000,Price,18169526905201654
17920643930152198,2022-03-23T09:09:27+0000,Pp,17887234487621132
18286016122054727,2022-03-22T08:06:14+0000,Pp,17945534905873705
17872147562659049,2022-03-20T13:20:05+0000,How much,17930112038120975
17905657589355652,2022-05-22T12:20:23+0000,I want to purchase this,17921109308297994
17905657589355652,2022-04-30T16:39:41+0000,I want to purchase this,17877514919669229
17905657589355652,2022-04-10T09:37:28+0000,I want this kurthi,17889681032619126
17855258297710016,2022-08-18T08:21:51+0000,Hii I need this pink how much,18179308537226403
17855258297710016,2022-03-22T14:03:27+0000,I want these top,17974346449477038
17855258297710016,2022-03-22T06:47:44+0000,How to order,18046398841317208
17855258297710016,2022-03-20T13:48:27+0000,Blue,17941271017912746
17855258297710016,2022-03-20T13:48:04+0000,How much,17924607140234866
17932842329008457,2022-06-13T10:08:56+0000,Price,17938022435166272
17932842329008457,2022-03-28T07:33:00+0000,Price,17928823583183710
17932842329008457,2022-03-23T10:11:08+0000,Price,17971019854532719
17932842329008457,2022-03-23T09:11:57+0000,Pp,17942964259802394
17934413266988271,2022-03-24T12:38:23+0000,Yes,17937991789969201
17924643272171518,2022-02-26T18:26:31+0000,Eavaloo,18283552669052900
17979212221445616,2022-03-30T14:34:42+0000,Brown,18053624473311285
17904189785359247,2022-03-20T12:08:26+0000,Price,17907322511369429
17904189785359247,2022-03-20T12:07:51+0000,How much,18286429501042276
17917448885158406,2022-04-30T16:41:45+0000,How to purchase,17939059066903110
17903365352377851,2022-02-20T16:28:13+0000,how much cost?,17987744548444233
17845209980735734,2022-03-23T08:04:38+0000,Black  sudi,17935056248022857
17913639614484443,2022-03-27T02:15:40+0000,Price,18006456229400681
17913639614484443,2022-03-25T19:01:41+0000,Pp,18029749606351902
17930721140064471,2022-04-30T16:42:59+0000,How to order,18135297046256721
17913221852347233,2022-07-12T06:38:34+0000,Price,18144383437267631
17913221852347233,2022-07-12T06:38:26+0000,I want this,18217121401145144
17850863330717497,2022-02-26T19:03:36+0000,Hii please order,17907000950513989
18153048313224778,2023-02-01T15:43:21+0000,Ithu readymade blouse sh,17960355506129457
18285402331037465,2022-03-25T17:45:41+0000,Hw mch,17923238564262231
17915748845168360,2022-08-29T12:13:53+0000,Price please,18136773019286899
17915748845168360,2022-03-11T06:41:36+0000,Ret pls,17853756728696479
17915748845168360,2022-02-26T18:24:05+0000,Pp,17923995371302036
17915748845168360,2022-02-26T00:50:05+0000,How much,17941070557768235
17915748845168360,2022-02-15T16:18:46+0000,Pp,18165388114205237
17915748845168360,2022-02-14T20:04:48+0000,Pp,17946030436786309
17915748845168360,2022-02-14T15:01:36+0000,How much,17937860077822933
17915748845168360,2022-02-14T06:39:02+0000,Sir I need this,17918267507251226
17915748845168360,2022-02-13T14:53:15+0000,Shirt wow mach,17957162992620200
17907959930399641,2022-02-13T06:31:10+0000,How much mam,17971592674512717
18024297568348495,2022-03-23T10:20:48+0000,Pls inbox me,17950222189752034
18024297568348495,2022-02-13T03:35:22+0000,Colours,17933909065875395
18024297568348495,2022-02-13T03:35:01+0000,I need this dress still available,17930359763022412
18029536942337760,2022-02-11T15:48:41+0000,Delivery eppo agum,17924918165014381
17939532523882733,2022-02-13T07:24:16+0000,Fipkart la 500 than but nenga over ah solringa,17897362148469019
17939532523882733,2022-02-12T17:16:06+0000,What is the length of this dress,18113305714273126
17939532523882733,2022-02-12T14:15:16+0000,Pp,17961802582562530
17939532523882733,2022-02-12T10:15:31+0000,Pc,17907812006436766
17939532523882733,2022-02-12T03:36:51+0000,Pp,17931860422992711
17939532523882733,2022-02-11T15:17:13+0000,I bought rs. 450 only,17912066039238449
17939532523882733,2022-02-11T09:50:56+0000,Price pls,18182009773160071
17876197733592089,2022-02-11T09:44:13+0000,How much is this?,17891785313564611
18217357123118224,2022-06-13T11:58:47+0000,I want pillow,17860142006753519
17951067592718363,2022-05-22T12:25:34+0000,I want to purchase this,17941904818918811
17949619531666655,2022-08-18T08:23:05+0000,I need this pink,18040707133365352
17946985246704160,2022-05-06T02:08:30+0000,Bad quality waste of price,17939759501043055
17946985246704160,2022-02-10T15:41:07+0000,White color is available¿¿,18218643418116866
17907742655389091,2022-02-11T09:47:18+0000,How much?I need this?,17936934289822434
17858940020656170,2022-02-10T18:05:02+0000,Ok mam,17930266913017321
17858940020656170,2022-02-10T18:03:55+0000,14th venum,17961021697572485
17858940020656170,2022-02-10T18:01:33+0000,13 th kulla delivery aguma,17941049920745135
17858940020656170,2022-02-10T17:59:12+0000,How much,17942930728725752
17907467717459618,2022-01-30T18:58:07+0000,I really luved it akka😍😍❤️,17907545543300278
17842289489729231,2022-04-05T08:08:25+0000,Both 570 or one 570 ah,17957129329679818
