,data,paging.cursors.after,paging.next
0,[],,
1,[],,
2,[],,
3,[],,
4,[],,
5,[],,
6,[],,
7,[],,
8,[],,
9,[],,
10,[],,
11,[],,
12,[],,
13,[],,
14,[],,
15,[],,
16,[],,
17,[],,
18,[],,
19,[],,
20,[],,
21,"[{'timestamp': '2023-01-01T11:57:16+0000', 'text': 'How to order', 'id': '17975853511819224'}]",,
22,[],,
23,[],,
24,[],,
25,"[{'timestamp': '2023-05-19T06:23:18+0000', 'text': 'How long it would take for delivery?', 'id': '17881680083854210'}, {'timestamp': '2023-05-19T06:22:16+0000', 'text': 'Hi', 'id': '18017156980598739'}]",,
26,[],,
27,[],,
28,[],,
29,[],,
30,[],,
31,[],,
32,[],,
33,[],,
34,[],,
35,[],,
36,[],,
37,[],,
38,[],,
39,[],,
40,[],,
41,[],,
42,[],,
43,[],,
44,[],,
45,[],,
46,[],,
47,[],,
48,[],,
49,[],,
50,[],,
51,[],,
52,[],,
53,[],,
54,[],,
55,[],,
56,[],,
57,[],,
58,[],,
59,[],,
60,[],,
61,[],,
62,[],,
63,[],,
64,[],,
65,[],,
66,[],,
67,[],,
68,[],,
69,[],,
70,[],,
71,[],,
72,[],,
73,[],,
74,[],,
75,[],,
76,[],,
77,[],,
78,[],,
79,[],,
80,[],,
81,[],,
82,[],,
83,[],,
84,[],,
85,[],,
86,[],,
87,[],,
88,[],,
89,[],,
90,[],,
91,[],,
92,[],,
93,[],,
94,[],,
95,[],,
96,[],,
97,[],,
98,[],,
99,[],,
100,[],,
101,[],,
102,[],,
103,[],,
104,[],,
105,[],,
106,[],,
107,[],,
108,[],,
109,"[{'timestamp': '2022-10-25T13:01:34+0000', 'text': 'Eann price', 'id': '18189747349214501'}]",,
110,[],,
111,[],,
112,[],,
113,[],,
114,[],,
115,[],,
116,[],,
117,[],,
118,[],,
119,[],,
120,[],,
121,[],,
122,[],,
123,[],,
124,[],,
125,[],,
126,[],,
127,"[{'timestamp': '2022-10-22T09:25:34+0000', 'text': 'How much', 'id': '17868542852789970'}]",,
128,[],,
129,[],,
130,[],,
131,[],,
132,[],,
133,[],,
134,[],,
135,[],,
136,"[{'timestamp': '2022-10-03T11:58:24+0000', 'text': 'Size', 'id': '17928527339414172'}]",,
137,[],,
138,[],,
139,[],,
140,[],,
141,[],,
142,[],,
143,[],,
144,[],,
145,[],,
146,[],,
147,[],,
148,[],,
149,[],,
150,[],,
151,[],,
152,[],,
153,[],,
154,"[{'timestamp': '2022-07-19T08:46:09+0000', 'text': 'How to order??', 'id': '18101884570291500'}]",,
155,[],,
156,[],,
157,"[{'timestamp': '2022-07-14T14:52:21+0000', 'text': 'How much', 'id': '18004117579452040'}]",,
158,[],,
159,[],,
160,[],,
161,[],,
162,[],,
163,[],,
