Date,Hours,Value
2023-06-07 07:00:00,0,335
2023-06-07 07:00:00,1,330
2023-06-07 07:00:00,2,334
2023-06-07 07:00:00,3,336
2023-06-07 07:00:00,4,317
2023-06-07 07:00:00,5,327
2023-06-07 07:00:00,6,354
2023-06-07 07:00:00,7,367
2023-06-07 07:00:00,8,367
2023-06-07 07:00:00,9,403
2023-06-07 07:00:00,10,381
2023-06-07 07:00:00,11,226
2023-06-07 07:00:00,12,104
2023-06-07 07:00:00,13,43
2023-06-07 07:00:00,14,31
2023-06-07 07:00:00,15,32
2023-06-07 07:00:00,16,43
2023-06-07 07:00:00,17,79
2023-06-07 07:00:00,18,135
2023-06-07 07:00:00,19,237
2023-06-07 07:00:00,20,278
2023-06-07 07:00:00,21,289
2023-06-07 07:00:00,22,351
2023-06-07 07:00:00,23,317
2023-06-08 07:00:00,0,328
2023-06-08 07:00:00,1,340
2023-06-08 07:00:00,2,355
2023-06-08 07:00:00,3,324
2023-06-08 07:00:00,4,303
2023-06-08 07:00:00,5,313
2023-06-08 07:00:00,6,339
2023-06-08 07:00:00,7,356
2023-06-08 07:00:00,8,377
2023-06-08 07:00:00,9,387
2023-06-08 07:00:00,10,372
2023-06-08 07:00:00,11,231
2023-06-08 07:00:00,12,112
2023-06-08 07:00:00,13,45
2023-06-08 07:00:00,14,16
2023-06-08 07:00:00,15,20
2023-06-08 07:00:00,16,27
2023-06-08 07:00:00,17,85
2023-06-08 07:00:00,18,160
2023-06-08 07:00:00,19,240
2023-06-08 07:00:00,20,292
2023-06-08 07:00:00,21,307
2023-06-08 07:00:00,22,326
2023-06-08 07:00:00,23,322
2023-06-09 07:00:00,0,325
2023-06-09 07:00:00,1,333
2023-06-09 07:00:00,2,342
2023-06-09 07:00:00,3,324
2023-06-09 07:00:00,4,293
2023-06-09 07:00:00,5,321
2023-06-09 07:00:00,6,333
2023-06-09 07:00:00,7,342
2023-06-09 07:00:00,8,364
2023-06-09 07:00:00,9,386
2023-06-09 07:00:00,10,357
2023-06-09 07:00:00,11,248
2023-06-09 07:00:00,12,101
2023-06-09 07:00:00,13,56
2023-06-09 07:00:00,14,32
2023-06-09 07:00:00,15,34
2023-06-09 07:00:00,16,35
2023-06-09 07:00:00,17,83
2023-06-09 07:00:00,18,166
2023-06-09 07:00:00,19,251
2023-06-09 07:00:00,20,286
2023-06-09 07:00:00,21,319
2023-06-09 07:00:00,22,330
2023-06-09 07:00:00,23,327
2023-06-10 07:00:00,0,314
2023-06-10 07:00:00,1,335
2023-06-10 07:00:00,2,323
2023-06-10 07:00:00,3,319
2023-06-10 07:00:00,4,325
2023-06-10 07:00:00,5,318
2023-06-10 07:00:00,6,352
