,caption,comments_count,like_count,media_product_type,media_type,media_url,is_comment_enabled,permalink,post_timestamp,id,plays,total_interactions,is_shared_to_feed
0,"Price : 1550 free shipping

#jewels #marriage #occasionwear #necklace #jewelry #jewellerdesign",1,10,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/353776111_1470948817067957_4284456750718341921_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=QQfL6qRNP-UAX_-SGmT&_nc_ht=scontent.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfBJEpPyoF2gDqxywjLWCMNpI3J6dzyxn2GKmZONmvrlgA&oe=649F9D5D,True,https://www.instagram.com/p/Ctd6gtrP6TN/,2023-06-14T10:27:28+0000,17976187442142137,,,
1,"❤️Engraved Customised moon lamp
🧡Price - 780
💛Free shipping
💚Size - 14 cms
💙1 pic + 1 text can be added

#gifts #giftsforher #giftsforhim #affordable #special",0,5,REELS,VIDEO,https://scontent.cdninstagram.com/o1/v/t16/f1/m82/3B4A18B1D742E5317B88AA36B2710991_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcyJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=105&vs=223126567186065_118343542&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8zQjRBMThCMUQ3NDJFNTMxN0I4OEFBMzZCMjcxMDk5MV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0l6UEhSVjNrQzZfeG40REFOS2l6SHRlVVBwNGJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmtOfsrYbe8j8VAigCQzMsF0Asu2RaHKwIGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBPXbTZuUt9BAXQZiwkNroQWXopeUdLPf0pPqjzty9h9g&oe=649C0BBE&_nc_sid=1d576d&_nc_rid=9cd7c41beb,True,https://www.instagram.com/reel/Ctd6HSGI2Ue/,2023-06-14T10:26:04+0000,18019394515580222,77,7,True
2,"*Vinnai Thandi Varuvaya Trisha Saree..._* 💃🧚‍♂️🥰 GG

♦Semi Silk Cotton Saree, Ethnic Border
♦Contrast Pallu
♦Contrast Blouse

*Rs. 1625 plus shipping*

_Multiples 🥰_",0,7,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/353390406_603356295226354_5882313245023088967_n.heic?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=9-vcXgtdcnsAX86bY1n&_nc_ht=scontent.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfA5bVvC8OqqCwqssqsbI2VWpU5skkr7E5zhb2WW9NHxBw&oe=64A021F2,True,https://www.instagram.com/p/Ctd3AMrPC7J/,2023-06-14T09:56:48+0000,17952183620624508,,,
3,"*Theri Samantha Saree..._* GG

_Recreating Thaimai Song Attire... 🙌_

♦️Satin Silk Saree (Color: Half White)
♦️Contrast Black Border Teamed up with Thin Orange Border
♦️Unstitched Blouse Piece 1m (Orange for Body & Black for Sleeve)

*Rs. 1200 plus shipping*",0,7,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/354135374_988796002148734_4626825937904756395_n.heic?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=-4Enp0RaZjEAX871bza&_nc_ht=scontent.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfDbUZMi3SbrNwXsMSTFqQeyjVCGFT2-iW6L7uVL6k5CuA&oe=64A09813,True,https://www.instagram.com/p/Ctd2wFCPqS2/,2023-06-14T09:54:36+0000,17967113633308792,,,
4,"*ONE SHOULD NEVER MISS OUR NEW COLLECTION BCOZ WE CREATE NEW CONCEPT TOO FULFILL UR REQUIREMENTS* (ME) 

*Fabric - Soft silk with Silver foil butaa*

*BLOUSE - MULBURY SILK STITCHED BLOUSE* fit upto 42 
With attached sleeve

*Rate ₹949* free ship only (fix)",0,5,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/348862868_279518641101378_6127092215907079835_n.webp?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=q0zO2nuxUtgAX-FVyCG&_nc_ht=scontent.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfDGmsmO8X9ocD6SnO0_-tC2B-LAfJ2nHqWSsWKsORdL2g&oe=649F5E71,True,https://www.instagram.com/p/CstJ1oYIhP2/,2023-05-26T11:58:36+0000,17909522723767690,,,
5,"*1099+$*

 *Premium Gadwal / Kalyani Cotton Silk Sarees* 

 *No colour fade after wash (Normal Wash)*

*With  Contrast Blouse*",0,6,REELS,VIDEO,https://scontent.cdninstagram.com/o1/v/t16/f1/m82/3D4D7BB7EE3D67C3CCC3997527DAEB88_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=100&vs=961989244824764_2290496405&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8zRDREN0JCN0VFM0Q2N0MzQ0NDMzk5NzUyN0RBRUI4OF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR1BfQlV4U1RiNXZMMlBVVkFHWjQ2dy1fWnFRa2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmloO8mbnk7z8VAigCQzMsF0A7lgQYk3S8GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfDnAxoFW7_Qbgak4bCbZfQkePEJFvwmoOsK2NRLzfNh6g&oe=649C34A9&_nc_sid=1d576d&_nc_rid=c82e709b9d,True,https://www.instagram.com/reel/CrituaBI93m/,2023-04-27T14:11:27+0000,18276019384190032,Media posted before business account conversion,Media posted before business account conversion,True
6,"*1099+$* (CS) 

 *Premium Gadwal / Kalyani Cotton Silk Sarees* 

 *No colour fade after wash (Normal Wash)*

*With  Contrast Blouse*",0,5,REELS,VIDEO,https://scontent.cdninstagram.com/o1/v/t16/f1/m82/33473CAFB775D1254A087E91371C9787_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=102&vs=534352282200062_1102877745&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8zMzQ3M0NBRkI3NzVEMTI1NEEwODdFOTEzNzFDOTc4N192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0I1NWtCTU82dGZwT1RFS0FGWTF4bGlEWG45c2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm7KmU0v7ZiEAVAigCQzMsF0AowQYk3S8bGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBTM_5Y4inixlx5wMiGM3Ptwf3wLeplovk9veT8YDw_-A&oe=649C06F1&_nc_sid=1d576d&_nc_rid=19426be858,True,https://www.instagram.com/reel/CrA_fEQIdt0/,2023-04-14T11:52:01+0000,17962404812261069,Media posted before business account conversion,Media posted before business account conversion,True
7,"*By the Grace of Almighty Presenting our new launch of Family Combo* (GG) 

*New Arrivals - Ramadan Edition*

*Always Dress Well Keep It Simple But Significant* 

 *All Garments are made of  Export surplus Cotton fabric* 

*Mens Shirt* : Slim Fit

*Womens Kurti* : Straight cut Pattern with beautiful contrast embroidery design with side slit open with side single Pocket

*Kids Frock* : Knee Length frock with Ruffled sleeves and strings on both side with back buttons.

Mens size : *M-39,  L-40, XL-42, XXL-44*
Mens Price : *₹790*

Womens Size : *M-38, L-40, XL-42 XXL-44, 3XL-46*
Womens Price : *₹790*

Kids Shirt : *1 to 14yrs*
Kids Shirt Price :
1-2 to 6-7yrs : *₹590*
7-8 to 13-14yrs : *₹650*

Kids Frock : *1 to 14yrs*
Kids Frock Price :
1-2 to 6-7yrs : *₹650*
7-8 to 13-14yrs : *₹690*

*Moq : 3 PCs*

Shipping charges :

Tamilnadu: *₹60*
Other states : *₹80(upto 3 pcs)*
Other states : *₹100(for 4 pcs)*",0,6,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/341130617_970875127620662_183691888678193072_n.webp?stp=dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=nVAYSWomUUcAX8rASEd&_nc_ht=scontent.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfDfFwyWq5cV-GVH3622NEdGKp48an1Cw-7oIkDkboWriA&oe=649F4582,True,https://www.instagram.com/p/CrAruSmvOGF/,2023-04-14T08:57:29+0000,18204651619244894,,,
8,"*750+$* CS

Naira cut kurti pant set
Kurti length 46
Pant 38

M l xl xxl

Heavy embroidery work kurti

80 per kg ship
2 pcs can come in one ship",0,5,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/340322355_560506606073500_2612880033720929764_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=mPa-Vc2yYmYAX-GP1UF&_nc_ht=scontent.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfAKM3irj4O61OfwCP0mu2a4NXmKqexkQytrCikxXeIWcA&oe=649EF707,True,https://www.instagram.com/p/Cq0zd71P3fH/,2023-04-09T18:14:16+0000,17969529302119541,,,
9,"*999+$* CS

 *Premium Gadwal / Kalyani Cotton Silk Sarees*

 *No colour fade after wash (Normal Wash)*

 *With  Contrast Blouse* 

 *Very soft and smooth to wear*",0,16,REELS,VIDEO,,True,https://www.instagram.com/reel/Cq0baQ5IhMQ/,2023-04-09T14:44:37+0000,17951815298578485,Media posted before business account conversion,Media posted before business account conversion,True
