,error.message,error.type,error.code,error.error_subcode,error.fbtrace_id
0,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,A8Zo-Bpp68sS8nDUVvSoPRd
1,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,AIIhoURu4Fm6dUY5y7uelri
2,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,A5EJ3Nha_7hzOCnnRe9dC1F
3,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,AT7tG1_3-Lkbb0HLw4hR5dT
4,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,Axq1lmU3esRsMVEYu_eMPN4
5,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,A_JhT77BqspLVJirVugdM-x
6,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,A2qugWgMS4nW77sp285ZbKn
7,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,AeBvb1rVa3aPPuAnWWcCjbL
8,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,AcGeDb7eVBX-n1ORcYIWDso
9,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,AMTcEy4DtBR3KLnz6HBleFp
10,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,AJguRbD8IoAeMtDQ_0V6uQC
11,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,AAGaKky50-lNF4ve-3fL6jy
12,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,A0C04sIz2lBGSYMswhUfm5D
13,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,AhF-D7FALoBwF5JJyxbfry7
14,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,Avtq23i49mrJdMhGXiEWwPY
15,"Unsupported get request. Object with ID '+str(value)+' does not exist, cannot be loaded due to missing permissions, or does not support this operation. Please read the Graph API documentation at https://developers.facebook.com/docs/graph-api",GraphMethodException,100,33,A38geDskXJA5M9oPtGT5hyr
