,like_count,caption,comments_count,media_product_type,media_type,media_url,permalink,id
0,59,"Join the movement: Saturday Motivation !!

We're thrilled to recognize the efi_volunteer EFI team for their outstanding contribution to the environment with the Agilisium INSPIRO Award 2023! Your dedication to sustainability and eco-friendliness is truly inspiring. Keep up the good work! 🌍🌿🏆

#environment #saturday #india #chennai #reelsindia #reelsinstagram",2,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/5D49745DC53F1659454BABFB1CDDA895_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=106&vs=236842045610765_637105715&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC81RDQ5NzQ1REM1M0YxNjU5NDU0QkFCRkIxQ0REQTg5NV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0hNRmhSUV9QcVRTUGtNQ0FLY2oyM19sWS1ZdmJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm5snQiLCJ0EAVAigCQzMsF0BTaan752yLGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBbwHn0s9hMmVtT_264ZK4SRGAHhdGTlyaf4fB76y2GPA&oe=645BBE8E&_nc_sid=ea0b6e&_nc_rid=2733044065,https://www.instagram.com/reel/Cr401r8IPin/,17984447192099981
1,93,"Diversity and inclusion, in tech: what do you think about it? 🤔

Agilisium's Head of People Practices recently spoke on this topic at the Hr development centre program, organised by scottautonomous 

“Our commitment to diversity and inclusion goes beyond mere words; it's ingrained in everything we do”. said Nishanth TIF, head of people practices, Agilisium.

See for yourself ➡️ link in bio !!

#diversityandinclusion #HR #HumanResources #Training #CareerDevelopment",0,FEED,IMAGE,https://scontent-maa2-2.cdninstagram.com/v/t51.2885-15/344867163_3440168929529254_1577163261441849478_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=vm2-iOZeqzEAX8jy9hJ&_nc_ht=scontent-maa2-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBcSa2kURHYl4UHSRrjfDCc2ltbixB830sPRTRvUhFxyw&oe=645E5CAA,https://www.instagram.com/p/Cr2h-9zsi65/,18051673348418816
2,85,"We had a great time at the NAB Show and wanted to say a big thank you to everyone who came to meet us. It was awesome meeting all of you!
#MediaandEntertainment #DataAnalytics #AWSCloud #CloudTransformation #NABShow2023 #NABShow #OTT",0,FEED,IMAGE,https://scontent-maa2-1.cdninstagram.com/v/t51.2885-15/343979077_1639574473148676_8088721931407719963_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=POO0PEz3r1UAX-EXYNt&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDoZcsHO4zp6kJGVNnupfbIOrYzhUQQc35S8Hn7iYd0iw&oe=645FA448,https://www.instagram.com/p/Crvg37GuHGF/,18029044513498929
3,29,"Let's continue to innovate, collaborate, and create technology that drives progress and transforms businesses. Happy May Day!

#MayDay #DigitalWorkforce #Technology #Innovation #DigitalTransformation #TechSolutions #ITConsulting #TechSupport #ITServices",0,FEED,IMAGE,https://scontent-maa2-2.cdninstagram.com/v/t51.2885-15/343974726_270533711993760_829750671719328975_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=EkinGPQ11nsAX_5HsxW&_nc_ht=scontent-maa2-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAq_zO_qiy3chQcXGhyaH6UpSoBUWIKywrky9iWdxBuLg&oe=645E457F,https://www.instagram.com/p/CrsAAGtsXFW/,17893338368747252
4,51,"""🚀 AWS is the go-to cloud platform for businesses worldwide! In this quick reel, we'll show you why AWS is so popular and why it should be on your radar.

Head to our website and check out our blog for a deeper dive into the benefits of AWS. 🔍 Link in Bio 📎

#AWS #cloudcomputing #digitaltransformation #businessgrowth #techsavvy #innovation #learnwithus #techblog",2,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/F74A06F039109C099ED21B61109EB58D_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=102&vs=788047179331529_4182960457&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9GNzRBMDZGMDM5MTA5QzA5OUVEMjFCNjExMDlFQjU4RF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0c1QWdCUnNEMnBBb0pnQUFOdzN6STlrYkNVNGJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm2NPlvYeU9z8VAigCQzMsF0A%2B7tkWhysCGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBd8B2JTgjZjz4h2ZB6hsQJexwOPjhHQG5PGEuu-EZufw&oe=645B9A8C&_nc_sid=ea0b6e&_nc_rid=67f29a6706,https://www.instagram.com/reel/CrivEoEL2bk/,17946586067617444
5,45,"Unlock the secrets of successful data engineering! 🚀🔑 Join us on 'Data Engineering Unplugged' as our guest pro spills the beans on insider tips and personal experiences in the field. Get ready to level up your data game with the latest tools, best practices, and trends. Tune in now! Link in bio 

#DataEngineering #Podcast #InsiderTips #DataPipelines #DataGameOn",1,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/294F0FA4CBE4F2DBD6F6016A6EAF76A3_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=101&vs=912202946803356_548815191&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8yOTRGMEZBNENCRTRGMkRCRDZGNjAxNkE2RUFGNzZBM192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0kwN1V4VDBHVnNxaVVrRUFLRUdsbUh4aUNaRGJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmysWZtIOvmkAVAigCQzMsF0BDbztkWhysGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBDwNHG3sJvFqjx8NAHh8RXNDs4kQwsfNHjWdYoTMIY7A&oe=645B69F9&_nc_sid=ea0b6e&_nc_rid=3b68cbd0be,https://www.instagram.com/reel/CrdqytKJcgO/,17984974262066726
6,114,Empowering Rural Communities Through Arts & Education with karpiorg ! 🌟 Join us on an inspiring journey of social change and empowerment as we share our vision towards creating equality and opportunity for underprivileged children and youth. 🎨📚 Agilisium is proud to be recognized by UN 17/17 for our commitment to quality education. Don't miss out on our incredible impact! #Empowerment #SocialChange #ArtsAndEducation #Agilisium #KARPI,2,REELS,VIDEO,,https://www.instagram.com/reel/CrUl6w3s2WO/,17977259324151248
7,33,"We wish you and your family a very joyful Eid !!
#eid #eidmubarak #islam #greetings #festival",0,FEED,IMAGE,https://scontent-maa2-2.cdninstagram.com/v/t51.2885-15/342374766_2285501801618284_6910572776088862108_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=o0oCTI9sCSwAX8TknWx&_nc_ht=scontent-maa2-2.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAxbrlCAPBS-Re_x0YNs-kW9FnquEu1TlkFMHOHltD6BA&oe=645FCD1C,https://www.instagram.com/p/CrTFnRWs-JR/,17985664318869835
8,58,Breaking News: We're thrilled to announce the opening of our brand new office in LA! Our team is excited to be a part of this dynamic community and provide top-notch services to our clients. Come visit us at our new location and see what we're all about! #newoffice #expansion #LA #newopportunities,2,FEED,IMAGE,https://scontent-maa2-1.cdninstagram.com/v/t51.2885-15/341790849_961064665070566_944672897809110991_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=phSNF2bYGe8AX_iCeSU&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAwsUNlP0zXeAEpD2ls4yG_2xZyA0VvmOEfiThHCV8cOA&oe=645E9DA1,https://www.instagram.com/p/CrN_dW9sf2c/,17877577085798383
9,48,"We're excited to announce the successful completion of Agilisium's Inspiro Awards Edition 2! 🎉🏆 These awards go beyond recognition and aim to inspire positive change in society. We're proud to have celebrated the exceptional individuals and organizations making a difference through innovation, creativity, and social impact.

Let's continue recognizing and supporting these inspiring leaders as we work together towards a better future.

Join us for Edition 3 and let's make a difference together.

#AgilisiumInspiro #socialimpact #innovation #creativity #positivechange
#csr",1,REELS,VIDEO,,https://www.instagram.com/reel/CrDzoHrxUmW/,17971913771088529
